Reference,Ref in Sefaria,Pages in K&E,Hebrew in Sefaria,Other English in Sefaria,Text Placed
Yalkut Shimoni on Torah 14,yes,"78, 81",yes,no,no
Yalkut Shimoni on Torah 16,yes,"87, 242",yes,no,no
Yalkut Shimoni on Torah 17,yes,88,yes,no,no
Yalkut Shimoni on Torah 19,yes,180,yes,no,no
Yalkut Shimoni on Torah 20,yes,324,yes,no,no
Yalkut Shimoni on Torah 23,yes,80,yes,no,no
Yalkut Shimoni on Torah 61,yes,156,yes,no,no
Yalkut Shimoni on Torah 80,yes,88,yes,no,no
Yalkut Shimoni on Torah 186,yes,243,yes,no,no
Yalkut Shimoni on Torah 187,yes,155,yes,no,no
Yalkut Shimoni on Torah 299,yes,102,yes,no,no
Yalkut Shimoni on Torah 764,yes,162,yes,no,no
Yalkut Shimoni on Nach 182,yes,325,yes,no,no
Yalkut Shimoni on Nach 287,yes,121,yes,no,no
Yalkut Shimoni on Nach 848,yes,"86, 323",yes,no,no
"Mishneh Torah, Positive Mitzvot 8",yes,70,yes,yes,no
"Mishneh Torah, Kings and Wars 6:12-13",yes,12,yes,no,no
"Mishneh Torah, Foundations of the Torah 4:14",yes,70,no,no,no
"Mishneh Torah, Foundations of the Torah 4:14-15",yes,67,no,no,no
"Guide for the Perplexed, Part 1 1",yes,67,yes,yes,no
"Guide for the Perplexed, Part 1 2",yes,70,yes,yes,no
"Guide for the Perplexed, Part 1 7",yes,"70, 92, 160",yes,yes,no
"Guide for the Perplexed, Part 1 38",yes,72,yes,yes,no
"Guide for the Perplexed, Part 1 54",yes,"20, 71-2, 171",yes,yes,no
"Guide for the Perplexed, Part 1 68",yes,92,yes,yes,no
"Guide for the Perplexed, Part 1 69",yes,275,yes,yes,no
"Guide for the Perplexed, Part 1 72",yes,"92, 93, 268-70, 275, 276",yes,yes,no
"Guide for the Perplexed, Part 1 75",yes,"23, 140",yes,yes,no
"Guide for the Perplexed, Part 2 6-7",yes,270,yes,yes,no
"Guide for the Perplexed, Part 2 30",yes,16,yes,yes,no
"Guide for the Perplexed, Part 2 40",yes,119,yes,yes,no
"Guide for the Perplexed, Part 3 1",yes,22,yes,yes,no
"Guide for the Perplexed, Part 3 8",yes,100,yes,yes,no
"Guide for the Perplexed, Part 3 12",yes,270,yes,yes,no
"Guide for the Perplexed, Part 3 13",yes,"15-16, 27, 101, 160, 270",yes,yes,no
"Guide for the Perplexed, Part 3 17",yes,28,yes,yes,no
"Guide for the Perplexed, Part 3 25",yes,"16, 20, 28, 239",yes,yes,no
"Guide for the Perplexed, Part 3 48",yes,148,yes,yes,no
"Guide for the Perplexed, Part 3 54",yes,71,yes,yes,no
Sefer HaBahir 3,yes,216,yes,yes,no
Sefer HaBahir 5,yes,209,yes,yes,no
Sefer HaBahir 6,yes,209,yes,yes,no
Sefer HaBahir 7,yes,216,yes,yes,no
Sefer HaBahir 22,yes,"37, 209, 218",yes,no,no
Sefer HaBahir 23-24,yes,278,yes,no,no
Sefer HaBahir 24,yes,237,yes,no,no
Sefer HaBahir 31,yes,278,yes,no,no
Sefer HaBahir 81,yes,218,yes,no,no
Sefer HaBahir 82,yes,"176, 187, 218",yes,no,no
Sefer HaBahir 95,yes,"206, 218",yes,no,no
Sefer HaBahir 95-96,yes,216,yes,no,no
Sefer HaBahir 99,yes,218,yes,no,no
Sefer HaBahir 106,yes,206,yes,no,no
Sefer HaBahir 119,yes,"37, 218",yes,no,no
Sefer HaBahir 172,yes,187,yes,no,no
Sefer Hasidim 43,yes,115,no,no,no
Sefer Hasidim 44,yes,146,no,no,no
Sefer Hasidim 373,yes,147,no,no,no
Sefer Hasidim 530,yes,92,no,no,no
Sefer Hasidim 666,yes,158,no,no,no
Sefer Hasidim 666-670,yes,146,no,no,no
Sefer Hashem 45,no,66,no,no,no
Peyrush L'parshat B'rei'shit 35b,no,275,no,no,no
Peyrush L'parshat B'rei'shit 36a,no,"194, 196",no,no,no
Peyrush L'parshat B'rei'shit 37a,no,"251, 301",no,no,no
Peyrush L'parshat B'rei'shit 38a,no,254,no,no,no
Peyrush L'parshat B'rei'shit 38b,no,253,no,no,no
Peyrush L'parshat B'rei'shit 41a,no,"251, 301, 302",no,no,no
Peyrush L'parshat B'rei'shit 41b,no,"181, 238",no,no,no
Zohar 1:13a,yes,211,yes,no,no
Zohar 1:19a,yes,224,yes,no,no
Zohar 1:29b,yes,87,yes,no,no
Zohar 1:32b,yes,86,yes,no,no
Zohar 1:34b,yes,222,yes,no,no
Zohar 1:134b,yes,"203, 250",yes,no,no
Zohar 1:191a,yes,160,yes,no,no
Zohar 1:201a,yes,291,yes,no,no
Zohar 1:55b,yes,194,yes,no,no
Zohar 2:5a,yes,"216, 237",yes,no,no
Zohar 2:15b-16a,yes,220,yes,no,no
Zohar 2:64b,yes,233,yes,no,no
Zohar 2:76a,yes,199,yes,no,no
Zohar 2:162b,yes,202,yes,no,no
Zohar 2:177a-177b,yes,198,yes,no,no
Zohar 3:19a,yes,86,yes,no,no
Zohar 3:83a,yes,278,yes,no,no
Zohar 3:118b,yes,224,yes,no,no
Zohar 3:130b-134b,yes,198,yes,no,no
Zohar 3:200b-202b,yes,153,yes,no,no
Zohar 3:123b,yes,"182, 198-9, 205, 228, 312, 341",yes,no,no
Zohar 3:252b,yes,287,yes,no,no
Zohar Chadash 12c,no,86,no,no,no
Zohar Chadash 22b,no,326,no,no,no
Zohar Chadash 31c,no,188,no,no,no
Zohar Chadash 59a,no,211,no,no,no
Midrash Hane'elam 5d,no,323,no,no,no
Midrash Hane'elam 10d,no,319,no,no,no
Midrash Hane'elam 16b,no,"217, 273",no,no,no
Midrash Hane'elam 16c,no,"183, 210, 277",no,no,no
Sitrey Otiyot 2a,no,211,no,no,no
Tikkunei Zohar 82b,yes,220-21,yes,no,no
Tikkunei Zohar 83b,yes,"180, 195",yes,no,no
Tikkunei Zohar 84b,yes,190,yes,no,no
Tikkunei Zohar 90b,yes,"175, 182, 191",yes,no,no
Tikkunei Zohar 91b,yes,209,yes,no,no
Tikkunei Zohar 94b,yes,181,yes,no,no
Tikkunei Zohar 99b,yes,192,yes,no,no
Tikkunei Zohar 120a,yes,180,yes,no,no
Tikkunei Zohar 120a-120b,yes,210,yes,no,no
Tikkunei Zohar 121a,yes,"179, 181, 197, 224",yes,no,no
Tikkunei Zohar 125a,yes,"199, 222",yes,no,no
Tikkunei Zohar 125b,yes,"287, 348",yes,no,no
Tikkunei Zohar 131a,yes,274,yes,no,no
Tikkunei Zohar 132a,yes,291,yes,no,no
Tikkunei Zohar 146a,yes,"178, 188, 199-200, 287",yes,no,no
Pardes Rimonim 89b,no,"91a, 262",no,no,no
Shi'ur Qomah shel Cordovero 21,no,131,no,no,no
Shi'ur Qomah shel Cordovero 52,no,149,no,no,no
Sefer Tomer Devorah 1,yes,"intro, 189",yes,no,no
Sefer Tomer Devorah 1,yes,"13, 186",yes,no,no
Sefer Tomer Devorah 2,yes,"164, 186",yes,no,no
Sefer Tomer Devorah 3,yes,"37, 149, 164, 186",yes,no,no
Sefer Tomer Devorah 9,yes,186,yes,no,no
Sha'ar Ru'ach Haqodesh 22-3,no,326,no,no,no
Sha'ar Hakavanot 106d-107a,no,302,no,no,no
Sha'ar Hak'lalim 1,no,200,no,no,no
Sha'ar Hak'lalim 2,no,262,no,no,no
Sha'ar Hak'lalim 3:2,no,287,no,no,no
Sha'ar Hak'lalim 6:5,no,260-61,no,no,no
Sha'ar Hak'lalim 6:6-7,no,261,no,no,no
Sha'ar Hak'lalim 7:1,no,261,no,no,no
Sha'ar Hak'lalim 22:1,no,180,no,no,no
Sha'ar Hak'lalim 26:1,no,184,no,no,no
Sha'ar Hak'lalim 26:3,no,"181, 196",no,no,no
Sha'ar Hak'lalim 30:3,no,288,no,no,no
Sha'ar Hak'lalim 34:1,no,287,no,no,no
Sha'ar Hak'lalim 39:15,no,261-2,no,no,no
Shelah 1:5b,no,179,no,no,no
Shelah 1:6b,no,"188, 198, 219",no,no,no
Shelah 1:10b,no,"179, 205, 214, 222, 224",no,no,no
Shelah 1:14d,no,193,no,no,no
Shelah 1:15a,no,253,no,no,no
Shelah 1:15b,no,198,no,no,no
Shelah 1:49a-b,no,290,no,no,no
Shelah 1:52b,no,291,no,no,no
Shelah 2:71b,no,291,no,no,no
Shelah 3:82b,no,165,no,no,no
Sefer Ba'al Shem Tov 1:100,no,293,no,no,no
Sefer Ba'al Shem Tov 1:132-3,no,293,no,no,no
Sefer Ba'al Shem Tov 1:163,no,293,no,no,no
Sefer Ba'al Shem Tov 1:166,no,293,no,no,no
Sefer Ba'al Shem Tov 1:267-8,no,298,no,no,no
Sefer Ba'al Shem Tov 1:43,no,206,no,no,no
Sefer Ba'al Shem Tov 1:76,no,293,no,no,no
Tanya 36,no,263,no,no,no
Tanya 37,no,263,no,no,no
Tanya 41,no,265,no,no,no
Tanya 49,no,263,no,no,no
Tanya 53,no,264,no,no,no
Igeret Haqodesh 20,no,"255-59, 264-5",no,no,no
Igeret Haqodesh 31,no,260,no,no,no
Likutei Moharan 1:5,yes,118,yes,yes,no
Likutei Moharan 1:10,yes,21,yes,no,no
Likutei Moharan 1:17,yes,21,yes,no,no
Likutei Moharan 1:64,yes,331,no,no,no
Likutei Moharan 1:169,yes,21,no,no,no
Likutei Moharan 1:178,yes,294,no,no,no
Likutei Moharan 1:277,yes,294,no,no,no
Likutei Moharan 2:11,yes,330-31,yes,yes,no
Likutei Moharan 2:63,yes,331,no,no,no
